target,association_coeff,neg,neu,pos
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.361,0.639,0.0
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.146,0.854,0.0
1,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,0.498,0.502
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.355,0.537,0.107
0,0.3611111111111111,0.0,0.665,0.335
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,0.833,0.167
1,0.3611111111111111,0.143,0.857,0.0
0,0.3611111111111111,0.093,0.62,0.287
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.068,0.823,0.109
1,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.073,0.682,0.244
1,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,0.675,0.325
0,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.118,0.882,0.0
0,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,0.838,0.162
0,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.0,1.0,0.0
0,0.3611111111111111,0.0,1.0,0.0
1,0.3611111111111111,0.224,0.561,0.215
0,0.3611111111111111,0.0,1.0,0.0
0,0.6857142857142857,0.114,0.886,0.0
1,0.6857142857142857,0.237,0.763,0.0
1,0.6857142857142857,0.233,0.583,0.184
0,0.6857142857142857,0.157,0.707,0.136
0,0.6857142857142857,0.297,0.604,0.099
1,0.6857142857142857,0.145,0.748,0.107
1,0.6857142857142857,0.508,0.492,0.0
1,0.6857142857142857,0.181,0.819,0.0
0,0.6857142857142857,0.366,0.634,0.0
0,0.6857142857142857,0.279,0.721,0.0
1,0.6857142857142857,0.307,0.693,0.0
1,0.6857142857142857,0.171,0.829,0.0
1,0.6857142857142857,0.0,1.0,0.0
0,0.6857142857142857,0.135,0.865,0.0
1,0.6857142857142857,0.275,0.514,0.211
0,0.6857142857142857,0.371,0.629,0.0
1,0.6857142857142857,0.0,1.0,0.0
1,0.6857142857142857,0.22,0.78,0.0
1,0.6857142857142857,0.293,0.707,0.0
1,0.6857142857142857,0.284,0.55,0.165
1,0.6857142857142857,0.124,0.876,0.0
1,0.6857142857142857,0.327,0.673,0.0
1,0.6857142857142857,0.612,0.388,0.0
0,0.6857142857142857,0.448,0.552,0.0
1,0.6857142857142857,0.313,0.505,0.182
1,0.6857142857142857,0.534,0.466,0.0
1,0.6857142857142857,0.279,0.721,0.0
1,0.6857142857142857,0.508,0.492,0.0
1,0.6857142857142857,0.102,0.898,0.0
0,0.6857142857142857,0.104,0.606,0.29
1,0.6857142857142857,0.147,0.853,0.0
0,0.6857142857142857,0.256,0.744,0.0
1,0.6857142857142857,0.166,0.834,0.0
1,0.6857142857142857,0.288,0.558,0.154
0,0.6857142857142857,0.147,0.853,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.132,0.868,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.169,0.692,0.138
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.146,0.57,0.284
0,0.0,0.237,0.763,0.0
0,0.0,0.18,0.581,0.24
0,0.0,0.163,0.654,0.183
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.696,0.304
0,0.0,0.0,0.718,0.282
0,0.0,0.444,0.556,0.0
0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.703,0.297
0,0.0,0.186,0.814,0.0
0,0.0,0.0,0.923,0.077
0,0.0,0.0,0.589,0.411
0,0.0,0.243,0.636,0.121
0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.417,0.583
0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.556,0.444
0,0.0,0.0,0.898,0.102
0,0.0,0.0,1.0,0.0
0,0.0,0.0,0.862,0.138
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.322,0.678,0.0
0,0.8571428571428571,0.205,0.795,0.0
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.313,0.455,0.231
1,0.8571428571428571,0.517,0.483,0.0
1,0.8571428571428571,0.279,0.721,0.0
1,0.8571428571428571,0.593,0.407,0.0
1,0.8571428571428571,0.297,0.703,0.0
1,0.8571428571428571,0.286,0.714,0.0
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.14,0.86,0.0
1,0.8571428571428571,0.409,0.591,0.0
0,0.8571428571428571,0.186,0.539,0.275
0,0.8571428571428571,0.337,0.531,0.131
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.2,0.8,0.0
1,0.8571428571428571,0.63,0.37,0.0
1,0.8571428571428571,0.593,0.407,0.0
1,0.8571428571428571,0.637,0.363,0.0
1,0.8571428571428571,0.123,0.731,0.146
1,0.8571428571428571,0.38,0.62,0.0
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.154,0.846,0.0
1,0.8571428571428571,0.531,0.469,0.0
1,0.8571428571428571,0.3,0.7,0.0
1,0.8571428571428571,0.593,0.407,0.0
1,0.8571428571428571,0.0,1.0,0.0
1,0.8571428571428571,0.14,0.86,0.0
1,0.8571428571428571,0.608,0.392,0.0
0,0.8571428571428571,0.35,0.508,0.141
0,0.8571428571428571,0.384,0.616,0.0
1,0.8571428571428571,0.412,0.588,0.0
1,0.8571428571428571,0.341,0.659,0.0
1,0.8571428571428571,0.238,0.762,0.0
1,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.2,0.8,0.0
1,0.5263157894736842,0.536,0.464,0.0
0,0.5263157894736842,0.184,0.426,0.39
1,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.598,0.402,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.226,0.774,0.0
1,0.5263157894736842,0.301,0.699,0.0
0,0.5263157894736842,0.0,0.781,0.219
1,0.5263157894736842,0.51,0.49,0.0
1,0.5263157894736842,0.565,0.435,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.0,0.597,0.403
0,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.508,0.492,0.0
0,0.5263157894736842,0.0,0.896,0.104
0,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.598,0.402,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.565,0.435,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.0,1.0,0.0
0,0.5263157894736842,0.0,1.0,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.565,0.435,0.0
1,0.5263157894736842,0.565,0.435,0.0
0,0.5263157894736842,0.0,0.858,0.142
0,0.5263157894736842,0.0,0.743,0.257
1,0.5263157894736842,0.565,0.435,0.0
0,0.5263157894736842,0.252,0.748,0.0
0,0.3333333333333333,0.26,0.628,0.112
0,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,0.785,0.215
0,0.3333333333333333,0.0,1.0,0.0
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,0.828,0.172
0,0.3333333333333333,0.285,0.715,0.0
0,0.3333333333333333,0.22,0.628,0.152
1,0.3333333333333333,0.113,0.755,0.132
0,0.3333333333333333,0.0,1.0,0.0
1,0.3333333333333333,0.113,0.755,0.132
0,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,0.705,0.295
0,0.3333333333333333,0.175,0.708,0.118
1,0.3333333333333333,0.0,0.864,0.136
1,0.3333333333333333,0.0,0.901,0.099
0,0.3333333333333333,0.184,0.703,0.113
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.285,0.715,0.0
1,0.3333333333333333,0.0,0.737,0.263
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.148,0.741,0.111
0,0.3333333333333333,0.167,0.833,0.0
1,0.3333333333333333,0.0,0.871,0.129
0,0.3333333333333333,0.0,0.809,0.191
0,0.3333333333333333,0.103,0.897,0.0
0,0.3333333333333333,0.0,0.774,0.226
1,0.3333333333333333,0.113,0.755,0.132
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.0,0.891,0.109
0,0.3333333333333333,0.0,0.719,0.281
0,0.3333333333333333,0.0,1.0,0.0
1,0.3333333333333333,0.372,0.628,0.0
0,0.3333333333333333,0.061,0.939,0.0
0,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.109,0.891,0.0
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.22,0.78,0.0
1,0.3333333333333333,0.0,1.0,0.0
0,0.3333333333333333,0.109,0.891,0.0
1,0.3333333333333333,0.109,0.891,0.0
0,0.3333333333333333,0.0,0.618,0.382
1,0.3333333333333333,0.109,0.891,0.0
0,0.3333333333333333,0.085,0.616,0.299
0,0.3333333333333333,0.375,0.625,0.0
1,0.3333333333333333,0.0,1.0,0.0
1,0.3333333333333333,0.0,0.823,0.177
0,0.3333333333333333,0.184,0.816,0.0
0,0.3333333333333333,0.109,0.891,0.0
0,0.3333333333333333,0.0,0.76,0.24
0,0.3333333333333333,0.19,0.718,0.092
0,0.3333333333333333,0.0,0.823,0.177
0,0.3333333333333333,0.0,0.811,0.189
1,0.3333333333333333,0.185,0.815,0.0
0,0.3333333333333333,0.146,0.854,0.0
0,0.3333333333333333,0.109,0.891,0.0
0,0.3333333333333333,0.0,0.56,0.44
0,0.3333333333333333,0.0,0.608,0.392
1,0.3333333333333333,0.22,0.78,0.0
0,0.3333333333333333,0.109,0.891,0.0
1,0.3333333333333333,0.109,0.891,0.0
0,0.28125,0.245,0.755,0.0
1,0.28125,0.441,0.559,0.0
0,0.28125,0.0,1.0,0.0
0,0.28125,0.0,1.0,0.0
0,0.28125,0.0,0.303,0.697
1,0.28125,0.0,1.0,0.0
0,0.28125,0.0,0.848,0.152
0,0.28125,0.0,0.815,0.185
0,0.28125,0.0,0.469,0.531
1,0.28125,0.0,1.0,0.0
0,0.28125,0.0,1.0,0.0
0,0.28125,0.0,1.0,0.0
0,0.28125,0.167,0.682,0.151
1,0.28125,0.0,1.0,0.0
0,0.28125,0.0,0.857,0.143
0,0.28125,0.135,0.865,0.0
0,0.28125,0.144,0.594,0.262
0,0.28125,0.166,0.834,0.0
1,0.28125,0.0,0.926,0.074
0,0.28125,0.0,0.824,0.176
0,0.28125,0.0,0.865,0.135
0,0.28125,0.205,0.795,0.0
1,0.28125,0.0,1.0,0.0
0,0.28125,0.175,0.668,0.157
0,0.28125,0.143,0.686,0.171
0,0.28125,0.0,0.857,0.143
0,0.28125,0.0,1.0,0.0
1,0.28125,0.0,1.0,0.0
1,0.28125,0.0,1.0,0.0
1,0.28125,0.0,0.844,0.156
0,0.28125,0.077,0.71,0.213
0,0.28125,0.15,0.577,0.273
0,0.11904761904761904,0.0,0.591,0.409
0,0.11904761904761904,0.0,0.591,0.409
0,0.11904761904761904,0.0,1.0,0.0
0,0.11904761904761904,0.0,0.28,0.72
0,0.11904761904761904,0.0,0.588,0.412
0,0.11904761904761904,0.0,1.0,0.0
0,0.11904761904761904,0.0,1.0,0.0
0,0.11904761904761904,0.279,0.721,0.0
0,0.11904761904761904,0.0,1.0,0.0
0,0.11904761904761904,0.0,0.767,0.233
0,0.11904761904761904,0.114,0.674,0.212
0,0.11904761904761904,0.09,0.697,0.213
0,0.11904761904761904,0.0,1.0,0.0
1,0.11904761904761904,0.0,0.591,0.409
0,0.11904761904761904,0.0,1.0,0.0
0,0.11904761904761904,0.0,0.591,0.409
